GitHub com login,GitHub com name,Enterprise server user ids,GitHub com user,Enterprise server user,Visual studio subscription user,License type,GitHub com profile,GitHub com member roles,GitHub com enterprise roles,GitHub com verified domain emails,GitHub com saml name,GitHub com orgs with pending invites,GitHub com two factor auth,GitHub com two factor auth required by date,GitHub com advanced security license user,Enterprise server primary emails,Enterprise server advanced security user ids,Visual studio license status,Visual studio subscription email,Total user accounts
solidstateKuvalis,Alexandra Bode,"",true,false,false,Enterprise,https://github.com/solidstateKuvalis,"hooli:Member","Member, Owner, Pending invitation","",,"springfield-nuclear, dunder-mifflin-tech",true,2024-02-06,false,"","",,,1
bluetoothBayer,Lorena Cronin,"",true,false,false,Enterprise,https://github.com/bluetoothBayer,"cyberdyne-sys:Member, oscorp:Member, aperture-labs:Member, springfield-nuclear:Member, starkindustries:Owner, wonka-factory:Member","Owner","",,"",true,2023-12-04,true,"","",,,1
antonia68,Alessandra Kling,"",true,false,false,Enterprise,https://github.com/antonia68,"springfield-nuclear:Member, cyberdyne-sys:Member, massive-dynamic:Member, waynetech:Owner, Bluth-Company:Member","Owner, Member","",,"",true,2024-09-05,false,"","",,,1
jimmie_jenkins22,Brendan Kilback,"",true,false,false,Enterprise,https://github.com/jimmie_jenkins22,"waynetech:Member, starkindustries:Member, cyberdyne-sys:Owner, initech:Member","Owner, Member","",,"",true,2023-10-19,false,"","",,,1
andy48,Lillian Bergstrom,"",true,false,false,Enterprise,https://github.com/andy48,"soylent-corp:Member, prestige-worldwide:Member","Owner","andy48@octodemo.com",,"",true,2024-06-09,true,"","",,,1
stephen_kuvalis49,Mr. Phil Zulauf Jr.,"",true,false,false,Enterprise,https://github.com/stephen_kuvalis49,"waynetech:Owner","Member, Owner","",,"",true,2024-05-19,true,"","",,,1
franey-happy,,"",true,false,false,Enterprise,https://github.com/franey-happy,"umbrella-corp:Owner","Member","",,"",true,2023-02-02,false,"","",,,1
tommy_bruen87,Mr. Rogelio Gerlach,"",true,false,false,Enterprise,https://github.com/tommy_bruen87,"starkindustries:Owner, springfield-nuclear:Owner, dunder-mifflin-tech:Owner","Member, Owner, Pending invitation","",,"daily-planet-dev, hooli",true,2024-01-11,false,"","",,,1
asha38,Mr. Sam Bartoletti,"",true,false,false,Enterprise,https://github.com/asha38,"waynetech:Member, oscorp:Member, umbrella-corp:Member, Bluth-Company:Member, hooli:Member","Member, Pending invitation","",,"wonka-factory, piedpiper, starkindustries",true,2025-07-09,false,"","",,,1
virtualFarrell,Krystal Hayes,"",true,false,false,Enterprise,https://github.com/virtualFarrell,"hooli:Member, piedpiper:Owner","Member","virtualFarrell@octodemo.com",,"",false,,false,"","",,,1
lexie20,Mrs. Charlotte Wisoky,"",true,false,false,Enterprise,https://github.com/lexie20,"cyberdyne-sys:Member, massive-dynamic:Owner","Owner","",,"",true,2023-05-22,false,"","",,,1
mobileBrakus,Russell Stanton,"561:octodemo.com:Member",true,true,false,Enterprise,https://github.com/mobileBrakus,"hooli:Owner, prestige-worldwide:Member, starkindustries:Owner, wonka-factory:Member, umbrella-corp:Member","Owner","",,"",true,2025-09-01,false,"mobileBrakus@github.com","",,,2
reinger-witty,,"284:octodemo.com:Member",true,true,false,Enterprise,https://github.com/reinger-witty,"aperture-labs:Owner, wonka-factory:Member, cyberdyne-sys:Owner, waynetech:Member, oscorp:Member","Member, Owner","",,"",false,,false,"reinger-witty@github.com","",,,2
wirelessKirlin,Jamil Armstrong,"",true,false,false,Enterprise,https://github.com/wirelessKirlin,"dunder-mifflin-tech:Member, soylent-corp:Member, acme-corp:Member, wonka-factory:Member, initech:Owner","Member, Owner","",,"",true,2024-07-22,false,"","",,,1
ankunding-gummy,Tommie Streich,"",true,false,false,Enterprise,https://github.com/ankunding-gummy,"prestige-worldwide:Owner, dunder-mifflin-tech/uneven-duster:Collaborator","Member, Owner","",,"",true,2024-03-07,false,"","",,,1
irma65,,"",true,false,false,Enterprise,https://github.com/irma65,"starkindustries:Owner, oscorp:Member, dunder-mifflin-tech:Owner, Bluth-Company:Owner, umbrella-corp:Member","Owner, Pending invitation","",,"waynetech, acme-corp",false,,false,"","",,,1
bluetoothQuigley,Bert Gleichner,"356:octodemo.com:Member",true,true,false,Enterprise,https://github.com/bluetoothQuigley,"piedpiper:Owner, initech:Owner, vandelay-industries:Owner","Member, Owner, Pending invitation","",,"acme-corp",false,,false,"bluetoothQuigley@github.com","",,,2
connietreutel,Kaitlin Konopelski,"",true,false,false,Enterprise,https://github.com/connietreutel,"umbrella-corp:Member, starkindustries:Owner, cyberdyne-sys:Member, dunder-mifflin-tech:Member, hooli:Member","Member, Owner","",,"",true,2024-11-09,true,"","",,,1
virtualGottlieb,Selina Greenfelder,"",true,false,false,Enterprise,https://github.com/virtualGottlieb,"daily-planet-dev:Member","Member, Owner","",virtualGottlieb@corp.dev,"",true,2025-10-27,false,"","",,,1
bayer-flowe,Odessa Kohler-Bernier,"",true,false,false,Enterprise,https://github.com/bayer-flowe,"massive-dynamic:Member, springfield-nuclear:Member, initech:Member, acme-corp:Member, soylent-corp:Member","Member","bayer-flowe@octodemo.com",,"",true,2025-12-28,true,"","",,,1
primaryMetz,Ted Pfeffer,"117:octodemo.com:Member",true,true,false,Enterprise,https://github.com/primaryMetz,"prestige-worldwide:Member, initech:Owner, Bluth-Company:Member, daily-planet-dev/rylan-bookstore-28:Collaborator","Member","",,"",true,2025-03-21,true,"primaryMetz@github.com","",,,2
mueller-tough,,"",true,false,false,Enterprise,https://github.com/mueller-tough,"starkindustries:Owner, cyberdyne-sys:Owner, piedpiper:Member","Member","",,"",true,2023-10-12,false,"","",,,1
lisandro88,Ms. Blanche Ward,"623:octodemo.com:Member",true,true,false,Enterprise,https://github.com/lisandro88,"Bluth-Company:Owner, piedpiper:Member, umbrella-corp:Member","Member, Owner","",,"",true,2025-01-23,true,"lisandro88@github.com","",,,2
open-sourceHahn,Deborah Kerluke,"",true,false,false,Enterprise,https://github.com/open-sourceHahn,"prestige-worldwide:Member","Member, Owner","",,"",true,2023-11-23,false,"","",,,1
digitalKiehn,Rex Kuphal,"",true,false,false,Enterprise,https://github.com/digitalKiehn,"starkindustries:Member, vandelay-industries:Member, massive-dynamic:Member, dunder-mifflin-tech:Member, acme-corp:Member, springfield-nuclear:Owner","Member, Owner","",,"",true,2023-11-20,true,"","",,,1
opticalKulas,Mr. Herbert Crooks,"",true,false,false,Enterprise,https://github.com/opticalKulas,"daily-planet-dev:Member","Member, Pending invitation","",,"dunder-mifflin-tech, soylent-corp, piedpiper",true,2023-11-22,false,"","",,,1
redundantLuettgen-Ru,,"",true,false,false,Enterprise,https://github.com/redundantLuettgen-Ru,"massive-dynamic:Member, prestige-worldwide:Member, wonka-factory:Owner","Owner, Member","",,"",false,,false,"","",,,1
franco97,Sheryl McLaughlin,"",true,false,false,Enterprise,https://github.com/franco97,"initech:Owner, globex-inc:Owner, starkindustries:Member, oscorp:Member, hooli/octocat_supply-each-farm:Collaborator","Member, Owner","",,"",true,2023-07-13,false,"","",,,1
josue79,Rogers Terry,"",true,false,false,Enterprise,https://github.com/josue79,"prestige-worldwide:Member, oscorp:Member, cyberdyne-sys:Member","Member, Owner","",,"",true,2025-09-08,false,"","",,,1
opticalMorar,Dale Vandervort,"",true,false,false,Enterprise,https://github.com/opticalMorar,"massive-dynamic:Member, aperture-labs:Owner, oscorp:Owner, piedpiper:Member","Member","opticalMorar@octodemo.com",,"",true,2025-04-20,false,"","",,,1
neuralKling,Ebony Hegmann,"",true,false,false,Enterprise,https://github.com/neuralKling,"globex-inc:Member, cyberdyne-sys:Member, waynetech:Member, starkindustries:Owner, oscorp:Member","Member, Owner, Pending invitation","neuralKling@octodemo.com",,"aperture-labs, prestige-worldwide, dunder-mifflin-tech",true,2024-03-18,false,"","",,,1
daryl90,Garret Borer,"",true,false,false,Enterprise,https://github.com/daryl90,"starkindustries:Owner, springfield-nuclear:Member, cyberdyne-sys:Member, soylent-corp:Member, oscorp:Member, soylent-corp/blanche-bookstore-29:Collaborator","Member, Owner","",,"",true,2025-10-06,true,"","",,,1
ludiemante36,Linda Stokes,"",true,false,false,Enterprise,https://github.com/ludiemante36,"Bluth-Company:Owner, springfield-nuclear:Member, aperture-labs:Member","Member","",,"",true,2023-06-15,false,"","",,,1
lehner-excel,Mrs. Kara Hegmann,"",true,false,false,Enterprise,https://github.com/lehner-excel,"Bluth-Company:Member, waynetech/other-scale-guidance:Collaborator","Member, Pending invitation","",,"umbrella-corp, daily-planet-dev",true,2024-11-01,false,"","",,,1
murazik-mealy,Merl Leuschke,"",true,false,false,Enterprise,https://github.com/murazik-mealy,"piedpiper:Member","Owner, Pending invitation","",,"prestige-worldwide, soylent-corp, piedpiper",true,2024-03-16,false,"","",,,1
adah55,,"",true,false,false,Enterprise,https://github.com/adah55,"Bluth-Company:Member, wonka-factory/resource-demo:Collaborator","Member, Owner","adah55@octodemo.com",,"",true,2024-11-11,true,"","",,,1
goldner-jitte,Ms. Alysson McLaughlin,"",true,false,false,Enterprise,https://github.com/goldner-jitte,"starkindustries:Member, waynetech:Member, initech:Member, Bluth-Company:Member, hooli:Member","Member, Owner","",goldner-jitte@company.com,"",false,,false,"","",,,1
digitalMcLaughlin,Clementina Beier-Dicki,"1092:octodemo.com:Member",true,true,false,Enterprise,https://github.com/digitalMcLaughlin,"Bluth-Company:Owner, wonka-factory:Member, prestige-worldwide:Member, vandelay-industries:Member, oscorp:Member","Owner","",,"",true,2025-04-13,false,"digitalMcLaughlin@github.com","",,,2
abigail22,Pansy Metz-Rodriguez,"",true,false,false,Enterprise,https://github.com/abigail22,"oscorp:Owner","Owner, Member, Pending invitation","",,"daily-planet-dev, springfield-nuclear, waynetech",true,2023-04-05,false,"","",,,1
rhonda96,Mr. Carmelo Larkin,"",true,false,false,Enterprise,https://github.com/rhonda96,"soylent-corp:Member, waynetech:Member, springfield-nuclear:Member, piedpiper:Owner","Owner, Member","",rhonda96@company.com,"",false,,false,"","",,,1
geneva94,Kathryn McKenzie V,"",true,false,false,Enterprise,https://github.com/geneva94,"cyberdyne-sys:Member, oscorp:Owner, massive-dynamic:Owner, globex-inc:Member, piedpiper:Owner","Owner","",,"",false,,true,"","",,,1
back-endGerlach,Coty Ferry,"",true,false,false,Enterprise,https://github.com/back-endGerlach,"vandelay-industries:Member, springfield-nuclear:Member, piedpiper:Owner, aperture-labs:Member, massive-dynamic:Owner, oscorp:Member, prestige-worldwide/yin-demo:Collaborator","Member, Owner","",,"",true,2024-12-13,false,"","",,,1
mobileStehr-Grimes,Wilson Senger,"",true,false,false,Enterprise,https://github.com/mobileStehr-Grimes,"piedpiper:Member, soylent-corp:Member, massive-dynamic:Member, starkindustries:Owner","Owner, Member","",,"",true,2024-04-04,false,"","",,,1
leland12,Alan Hintz,"",true,false,false,Enterprise,https://github.com/leland12,"cyberdyne-sys:Owner, wonka-factory/octocat_supply-impressive-morning:Collaborator","Member","",,"",true,2023-06-16,true,"","",,,1
greenholt-stron,Triston Collins,"724:octodemo.com:Member",true,true,false,Enterprise,https://github.com/greenholt-stron,"acme-corp:Member, cyberdyne-sys:Member, daily-planet-dev:Member, waynetech:Owner, springfield-nuclear:Member","Member, Pending invitation","",,"starkindustries",true,2025-05-11,true,"greenholt-stron@github.com","",,,2
eve93,Enrique Wisoky,"",true,false,false,Enterprise,https://github.com/eve93,"soylent-corp:Member, massive-dynamic:Owner, globex-inc:Member, acme-corp:Member, starkindustries:Member","Member, Owner, Pending invitation","",,"waynetech, acme-corp",true,2024-01-04,false,"","",,,1
open-sourceTowne,Miss Shelley Cummings,"",true,false,false,Enterprise,https://github.com/open-sourceTowne,"dunder-mifflin-tech:Owner, daily-planet-dev:Member, springfield-nuclear:Member, waynetech:Member, vandelay-industries:Member, soylent-corp:Member","Member, Owner","",,"",true,2023-06-14,false,"","",,,1
conrad13,Pete Schuppe,"",true,false,false,Enterprise,https://github.com/conrad13,"hooli:Member, massive-dynamic:Member, cyberdyne-sys:Owner, vandelay-industries:Member, acme-corp:Member, dunder-mifflin-tech:Member","Owner","",,"",true,2024-12-09,false,"","",,,1
arianna80,Dennis Ward,"",true,false,false,Enterprise,https://github.com/arianna80,"globex-inc:Owner, aperture-labs:Member, daily-planet-dev:Member, wonka-factory:Owner, cyberdyne-sys:Member, initech/clean-silk-app:Collaborator","Member","",,"",true,2024-08-08,false,"","",,,1
rice-storm,Sierra Koch,"",true,false,false,Enterprise,https://github.com/rice-storm,"hooli:Member, piedpiper:Member, waynetech:Member, vandelay-industries:Member","Member, Owner","",,"",true,2024-09-16,false,"","",,,1
oconnell-defin,Lamar Weimann,"",true,false,false,Enterprise,https://github.com/oconnell-defin,"oscorp:Owner, aperture-labs:Owner, soylent-corp:Owner, waynetech:Member, dunder-mifflin-tech:Member, vandelay-industries:Member","Owner","",,"",false,,true,"","",,,1
tromp-petty,Omer Kris,"",true,false,false,Enterprise,https://github.com/tromp-petty,"Bluth-Company:Member, cyberdyne-sys:Owner, daily-planet-dev:Member, dunder-mifflin-tech:Owner, acme-corp:Owner, massive-dynamic:Member","Member, Owner, Pending invitation","",,"massive-dynamic, vandelay-industries",true,2025-09-01,false,"","",,,1
jeremy11,Courtney Metz,"",true,false,false,Enterprise,https://github.com/jeremy11,"starkindustries:Owner, dunder-mifflin-tech:Owner, aperture-labs:Owner, globex-inc:Member, Bluth-Company:Member","Owner","",,"",true,2023-03-22,false,"","",,,1
auxiliaryLowe,Marianna Reichel,"",true,false,false,Enterprise,https://github.com/auxiliaryLowe,"springfield-nuclear:Owner, globex-inc:Member, prestige-worldwide:Member","Member, Pending invitation","",,"umbrella-corp, daily-planet-dev, oscorp",true,2025-09-05,false,"","",,,1
annamae_bailey28,Barbara Huel,"",true,false,false,Enterprise,https://github.com/annamae_bailey28,"vandelay-industries:Member, starkindustries:Owner, prestige-worldwide:Owner, Bluth-Company:Owner","Owner, Member","",annamae_bailey28@company.com,"",false,,true,"","",,,1
multi-byteBednar,Cortez Lebsack,"",true,false,false,Enterprise,https://github.com/multi-byteBednar,"massive-dynamic:Member","Member","",multi-byteBednar@corp.dev,"",true,2025-07-08,false,"","",,,1
wirelessWehner,Dr. Asia Leuschke,"",true,false,false,Enterprise,https://github.com/wirelessWehner,"starkindustries:Member, soylent-corp/darrell-bookstore-13:Collaborator","Owner, Member","",wirelessWehner@corp.dev,"",true,2023-04-22,false,"","",,,1
turner-guilt,Betsy Cronin,"",true,false,false,Enterprise,https://github.com/turner-guilt,"massive-dynamic:Member, piedpiper:Member, initech:Member, Bluth-Company:Owner, umbrella-corp:Member","Member, Pending invitation","",,"waynetech, wonka-factory",true,2025-10-08,false,"","",,,1
lemke-celeb,Martin Renner,"",true,false,false,Enterprise,https://github.com/lemke-celeb,"acme-corp:Member, springfield-nuclear:Member","Owner","",,"",false,,true,"","",,,1
back-endRobel,Mona Blick-Marvin,"",true,false,false,Enterprise,https://github.com/back-endRobel,"cyberdyne-sys:Member","Owner, Pending invitation","",,"daily-planet-dev",true,2023-08-08,false,"","",,,1
brenda68,Mitchel Pacocha,"",true,false,false,Enterprise,https://github.com/brenda68,"acme-corp:Member, soylent-corp:Member, waynetech:Member","Member","",,"",true,2025-01-06,false,"","",,,1
open-sourceTerry,Federico Padberg,"",true,false,false,Enterprise,https://github.com/open-sourceTerry,"vandelay-industries:Owner, prestige-worldwide:Owner, daily-planet-dev:Member, springfield-nuclear:Member","Owner, Member","",,"",false,,false,"","",,,1
suzanne_hahn54,Hal Huel,"",true,false,false,Enterprise,https://github.com/suzanne_hahn54,"Bluth-Company:Member, vandelay-industries:Member, springfield-nuclear:Member, waynetech:Member, massive-dynamic:Member, waynetech/prickly-allocation:Collaborator","Owner, Member","suzanne_hahn54@octodemo.com",,"",true,2023-10-25,true,"","",,,1
olive65,Kyra Kassulke I,"",true,false,false,Enterprise,https://github.com/olive65,"starkindustries:Owner, acme-corp:Owner, initech:Member","Owner, Pending invitation","",,"prestige-worldwide, aperture-labs, starkindustries",true,2024-08-03,false,"","",,,1
"",,406:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,magnus1@gmail.com,"",,,1
"",,1288:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,maurice_hartmann@github.com,"",,,1
"",,678:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,evelyn.koepp@company.dev,"",,,1
"",,417:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,henrietta_williamson98@github.com,"",,,1
"",,353:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,arturo_cole@company.dev,"",,,1
"",,1484:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,adeline_prohaska8@github.com,"",,,1
"",,672:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,mona29@gmail.com,"",,,1
"",,1185:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,stephanie.dickens@gmail.com,"",,,1
"",,349:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,dominic.welch@gmail.com,"",,,1
"",,909:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,joanne_weissnat0@github.com,"",,,1
"",,775:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,lonie_denesik@github.com,"",,,1
"",,171:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,coy.trantow@github.com,"",,,1
"",,890:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,paulette_breitenberg46@gmail.com,"",,,1
"",,412:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,norwood89@github.com,"",,,1
"",,434:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,kurt.lowe38@gmail.com,"",,,1
"",,417:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,fabian.ernser@github.com,"",,,1
"",,127:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,jovani_kovacek@company.dev,"",,,1
"",,940:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,kathryn63@gmail.com,"",,,1
"",,1024:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,adelia18@github.com,"",,,1
"",,408:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,ron_ohara7@gmail.com,"",,,1
"",,1056:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,myles53@company.dev,"",,,1
"",,658:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,olga_bradtke@github.com,"",,,1
